7.7555 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
152.6968 	EXP 	fixation: autoDraw = False
152.6968 	EXP 	pres_text: autoDraw = True
153.6697 	EXP 	New trial (rep=2, index=0): None
153.6807 	EXP 	fixation: autoDraw = False
153.6807 	EXP 	pres_text: autoDraw = False
153.6807 	EXP 	pres_text: text = '8'
153.6807 	EXP 	fixation: autoDraw = True
154.6806 	EXP 	fixation: autoDraw = False
154.6806 	EXP 	pres_text: autoDraw = True
155.6652 	EXP 	New trial (rep=3, index=0): None
155.6900 	EXP 	fixation: autoDraw = False
155.6900 	EXP 	pres_text: autoDraw = False
155.6900 	EXP 	pres_text: text = '3'
155.6900 	EXP 	fixation: autoDraw = True
156.6693 	EXP 	pres_text: autoDraw = True
156.7164 	EXP 	fixation: autoDraw = False
157.6773 	EXP 	New trial (rep=4, index=0): None
157.6991 	EXP 	fixation: autoDraw = False
157.6991 	EXP 	pres_text: autoDraw = False
157.6991 	EXP 	pres_text: text = '2'
157.6991 	EXP 	fixation: autoDraw = True
158.6820 	EXP 	pres_text: autoDraw = True
